SearchBayesianSkopt: Config 11 is suboptimal. Config: {'l1_ratio': 0.01, 'topK': 3000, 'alpha': 0.7944090115134577, 'workers': 8, 'mw': 20} - results: PRECISION: 0.3683208, PRECISION_RECALL_MIN_DEN: 0.3694177, RECALL: 0.0635036, MAP: 0.2226133, MAP_MIN_DEN: 0.2230686, MRR: 0.6222535, NDCG: 0.3830928, F1: 0.1083297, HIT_RATE: 0.9617386, ARHR_ALL_HITS: 1.1581911, NOVELTY: 0.0054344, AVERAGE_POPULARITY: 0.5998921, DIVERSITY_MEAN_INTER_LIST: 0.8774278, DIVERSITY_HERFINDAHL: 0.9877363, COVERAGE_ITEM: 0.0905919, COVERAGE_ITEM_CORRECT: 0.0457943, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9612454, DIVERSITY_GINI: 0.0073899, SHANNON_ENTROPY: 7.2269063, RATIO_DIVERSITY_HERFINDAHL: 0.9881058, RATIO_DIVERSITY_GINI: 0.0282737, RATIO_SHANNON_ENTROPY: 0.5803091, RATIO_AVERAGE_POPULARITY: 3.0056751, RATIO_NOVELTY: 0.0255946, 
SearchBayesianSkopt: New best config found. Config 12: {'l1_ratio': 0.01, 'topK': 1000, 'alpha': 0.001, 'workers': 8, 'mw': 1} - results: PRECISION: 0.3984754, PRECISION_RECALL_MIN_DEN: 0.3998698, RECALL: 0.0709080, MAP: 0.2446972, MAP_MIN_DEN: 0.2453769, MRR: 0.6422674, NDCG: 0.4108836, F1: 0.1203924, HIT_RATE: 0.9732464, ARHR_ALL_HITS: 1.2319826, NOVELTY: 0.0057078, AVERAGE_POPULARITY: 0.4772243, DIVERSITY_MEAN_INTER_LIST: 0.9423801, DIVERSITY_HERFINDAHL: 0.9942311, COVERAGE_ITEM: 0.1515034, COVERAGE_ITEM_CORRECT: 0.0884877, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9727473, DIVERSITY_GINI: 0.0200141, SHANNON_ENTROPY: 8.6363108, RATIO_DIVERSITY_HERFINDAHL: 0.9946030, RATIO_DIVERSITY_GINI: 0.0765732, RATIO_SHANNON_ENTROPY: 0.6934820, RATIO_AVERAGE_POPULARITY: 2.3910652, RATIO_NOVELTY: 0.0268821, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'l1_ratio': 0.01, 'topK': 1000, 'alpha': 1.0, 'workers': 8, 'mw': 1} - results: PRECISION: 0.3619952, PRECISION_RECALL_MIN_DEN: 0.3631650, RECALL: 0.0627395, MAP: 0.2225713, MAP_MIN_DEN: 0.2231623, MRR: 0.6341887, NDCG: 0.3817862, F1: 0.1069439, HIT_RATE: 0.9591732, ARHR_ALL_HITS: 1.1673005, NOVELTY: 0.0052567, AVERAGE_POPULARITY: 0.6824059, DIVERSITY_MEAN_INTER_LIST: 0.7945010, DIVERSITY_HERFINDAHL: 0.9794443, COVERAGE_ITEM: 0.0256382, COVERAGE_ITEM_CORRECT: 0.0155601, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9586813, DIVERSITY_GINI: 0.0030069, SHANNON_ENTROPY: 6.1450416, RATIO_DIVERSITY_HERFINDAHL: 0.9798106, RATIO_DIVERSITY_GINI: 0.0115043, RATIO_SHANNON_ENTROPY: 0.4934371, RATIO_AVERAGE_POPULARITY: 3.4190988, RATIO_NOVELTY: 0.0247574, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'l1_ratio': 0.01, 'topK': 3000, 'alpha': 0.001, 'workers': 8, 'mw': 20} - results: PRECISION: 0.3203474, PRECISION_RECALL_MIN_DEN: 0.3212107, RECALL: 0.0548145, MAP: 0.1777066, MAP_MIN_DEN: 0.1780049, MRR: 0.5412623, NDCG: 0.3261683, F1: 0.0936113, HIT_RATE: 0.9394561, ARHR_ALL_HITS: 0.9680220, NOVELTY: 0.0061566, AVERAGE_POPULARITY: 0.4063332, DIVERSITY_MEAN_INTER_LIST: 0.9583657, DIVERSITY_HERFINDAHL: 0.9958295, COVERAGE_ITEM: 0.2762058, COVERAGE_ITEM_CORRECT: 0.1028296, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9389744, DIVERSITY_GINI: 0.0418493, SHANNON_ENTROPY: 9.4166442, RATIO_DIVERSITY_HERFINDAHL: 0.9962020, RATIO_DIVERSITY_GINI: 0.1601138, RATIO_SHANNON_ENTROPY: 0.7561416, RATIO_AVERAGE_POPULARITY: 2.0358752, RATIO_NOVELTY: 0.0289960, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'l1_ratio': 0.01, 'topK': 1000, 'alpha': 0.549248657646722, 'workers': 8, 'mw': 5} - results: PRECISION: 0.3802756, PRECISION_RECALL_MIN_DEN: 0.3816010, RECALL: 0.0667582, MAP: 0.2345546, MAP_MIN_DEN: 0.2351605, MRR: 0.6398178, NDCG: 0.3970526, F1: 0.1135775, HIT_RATE: 0.9662098, ARHR_ALL_HITS: 1.2034384, NOVELTY: 0.0053307, AVERAGE_POPULARITY: 0.6409800, DIVERSITY_MEAN_INTER_LIST: 0.8441493, DIVERSITY_HERFINDAHL: 0.9844087, COVERAGE_ITEM: 0.0458497, COVERAGE_ITEM_CORRECT: 0.0272440, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9657143, DIVERSITY_GINI: 0.0046552, SHANNON_ENTROPY: 6.7214090, RATIO_DIVERSITY_HERFINDAHL: 0.9847769, RATIO_DIVERSITY_GINI: 0.0178105, RATIO_SHANNON_ENTROPY: 0.5397185, RATIO_AVERAGE_POPULARITY: 3.2115403, RATIO_NOVELTY: 0.0251064, 
SearchBayesianSkopt: New best config found. Config 16: {'l1_ratio': 0.03727318112179307, 'topK': 1000, 'alpha': 0.001, 'workers': 8, 'mw': 1} - results: PRECISION: 0.3982628, PRECISION_RECALL_MIN_DEN: 0.3996572, RECALL: 0.0709166, MAP: 0.2447398, MAP_MIN_DEN: 0.2454183, MRR: 0.6425852, NDCG: 0.4108528, F1: 0.1203951, HIT_RATE: 0.9731731, ARHR_ALL_HITS: 1.2323610, NOVELTY: 0.0057086, AVERAGE_POPULARITY: 0.4769846, DIVERSITY_MEAN_INTER_LIST: 0.9424530, DIVERSITY_HERFINDAHL: 0.9942384, COVERAGE_ITEM: 0.1511158, COVERAGE_ITEM_CORRECT: 0.0884324, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9726740, DIVERSITY_GINI: 0.0200251, SHANNON_ENTROPY: 8.6377700, RATIO_DIVERSITY_HERFINDAHL: 0.9946103, RATIO_DIVERSITY_GINI: 0.0766155, RATIO_SHANNON_ENTROPY: 0.6935992, RATIO_AVERAGE_POPULARITY: 2.3898641, RATIO_NOVELTY: 0.0268858, 
SearchBayesianSkopt: Extending previous number of cases from 30 to 60.
SearchBayesianSkopt: Search interrupted due to ValueError. The evaluated configurations may have had all the same value.
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.03919714932309146, 'topK': 1494, 'alpha': 0.0803255519393191, 'workers': 8, 'mw': 16} - results: PRECISION: 0.3763555, PRECISION_RECALL_MIN_DEN: 0.3778328, RECALL: 0.0658992, MAP: 0.2281786, MAP_MIN_DEN: 0.2287409, MRR: 0.6268738, NDCG: 0.3902063, F1: 0.1121595, HIT_RATE: 0.9631448, ARHR_ALL_HITS: 1.1755978, NOVELTY: 0.0056033, AVERAGE_POPULARITY: 0.5194765, DIVERSITY_MEAN_INTER_LIST: 0.9243700, DIVERSITY_HERFINDAHL: 0.9924302, COVERAGE_ITEM: 0.1280802, COVERAGE_ITEM_CORRECT: 0.0671687, COVERAGE_USER: 0.9998535, COVERAGE_USER_CORRECT: 0.9630037, DIVERSITY_GINI: 0.0134214, SHANNON_ENTROPY: 8.0724951, RATIO_DIVERSITY_HERFINDAHL: 0.9928013, RATIO_DIVERSITY_GINI: 0.0513546, RATIO_SHANNON_ENTROPY: 0.6482088, RATIO_AVERAGE_POPULARITY: 2.6262552, RATIO_NOVELTY: 0.0263900, 
SearchBayesianSkopt: New best config found. Config 1: {'l1_ratio': 0.05119899123475434, 'topK': 1549, 'alpha': 0.09302698511434326, 'workers': 8, 'mw': 9} - results: PRECISION: 0.3877198, PRECISION_RECALL_MIN_DEN: 0.3894346, RECALL: 0.0689940, MAP: 0.2378889, MAP_MIN_DEN: 0.2386387, MRR: 0.6388661, NDCG: 0.4022620, F1: 0.1171427, HIT_RATE: 0.9687134, ARHR_ALL_HITS: 1.2115686, NOVELTY: 0.0055163, AVERAGE_POPULARITY: 0.5485340, DIVERSITY_MEAN_INTER_LIST: 0.9109086, DIVERSITY_HERFINDAHL: 0.9910842, COVERAGE_ITEM: 0.0950772, COVERAGE_ITEM_CORRECT: 0.0534913, COVERAGE_USER: 0.9998535, COVERAGE_USER_CORRECT: 0.9685714, DIVERSITY_GINI: 0.0102570, SHANNON_ENTROPY: 7.7589350, RATIO_DIVERSITY_HERFINDAHL: 0.9914547, RATIO_DIVERSITY_GINI: 0.0392466, RATIO_SHANNON_ENTROPY: 0.6230304, RATIO_AVERAGE_POPULARITY: 2.7731577, RATIO_NOVELTY: 0.0259801, 
