,l1_ratio,topK,alpha,positive_only,workers
0,0.36705059953791375,511,0.9427994489000577,False,2
1,0.4342554734675593,537,0.7399081971803083,True,2
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
