,l1_ratio,topK,alpha,positive_only
0,0.3334178089937767,405,0.7196250264460516,True
1,0.15366539404149596,390,0.6700286531920313,True
2,0.3909900019157522,219,0.682504338536675,False
3,0.43013246068534916,372,0.8621580370121443,False
4,0.10875631687278667,121,0.9757282132073315,False
5,0.37742220245642943,760,0.5295224738749057,False
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
